source_file,source_row_number,record_key,invalid_reasons,processed_at,raw_order_id,raw_customer_id,raw_order_date,raw_status,raw_shipping_city,raw_payment_method
orders_raw.csv,2,1,customer_id does not exist in trusted customers,2026-08-06T09:37:35.194035Z,1,73,2026-02-02,NEW,Ferizaj,Cash
orders_raw.csv,3,2,customer_id does not exist in trusted customers; order status 'x' is invalid,2026-08-06T09:37:35.194035Z,2,197,2026-02-03,X,Gjilan,PayPal
orders_raw.csv,4,3,customer_id does not exist in trusted customers,2026-08-06T09:37:35.194035Z,3,191,2026-02-04,NEW,Mitrovica,Card
orders_raw.csv,5,4,customer_id does not exist in trusted customers,2026-08-06T09:37:35.194035Z,4,112,2026-02-05,NEW,Ferizaj,Cash
orders_raw.csv,6,5,customer_id does not exist in trusted customers,2026-08-06T09:37:35.194035Z,5,181,2026-02-06,NEW,Vushtrri,PayPal
orders_raw.csv,8,7,customer_id does not exist in trusted customers,2026-08-06T09:37:35.194035Z,7,112,2026-02-08,NEW,Vushtrri,Card
orders_raw.csv,9,8,customer_id does not exist in trusted customers,2026-08-06T09:37:35.194035Z,8,74,2026-02-09,NEW,Prishtina,Cash
orders_raw.csv,10,9,customer_id does not exist in trusted customers,2026-08-06T09:37:35.194035Z,9,126,2026-02-10,NEW, Gjakova ,PayPal
orders_raw.csv,11,10,customer_id does not exist in trusted customers,2026-08-06T09:37:35.194035Z,10,204,2026-02-11,Completed, Gjakova ,PayPal
orders_raw.csv,14,13,customer_id does not exist in trusted customers,2026-08-06T09:37:35.194035Z,13,29,2026-02-14,NEW, Gjakova ,PayPal
orders_raw.csv,15,14,customer_id does not exist in trusted customers,2026-08-06T09:37:35.194035Z,14,144,2026-02-15,NEW,Ferizaj,Cash
orders_raw.csv,16,15,customer_id does not exist in trusted customers; order status 'x' is invalid,2026-08-06T09:37:35.194035Z,15,25,2026-02-16,X,Mitrovica,PayPal
orders_raw.csv,17,16,customer_id does not exist in trusted customers; order status 'x' is invalid,2026-08-06T09:37:35.194035Z,16,23,2026-02-17,X,Prishtina,
orders_raw.csv,18,17,customer_id does not exist in trusted customers,2026-08-06T09:37:35.194035Z,17,96,2026-02-18,Completed,Gjilan,Cash
orders_raw.csv,19,18,customer_id does not exist in trusted customers,2026-08-06T09:37:35.194035Z,18,110,2026-02-19,Completed,Mitrovica,PayPal
orders_raw.csv,20,19,customer_id does not exist in trusted customers; order status 'x' is invalid,2026-08-06T09:37:35.194035Z,19,60,2026-02-20,X,Prizren,PayPal
orders_raw.csv,22,21,customer_id does not exist in trusted customers,2026-08-06T09:37:35.194035Z,21,84,2026-02-22,Completed, Gjakova ,PayPal
orders_raw.csv,24,23,customer_id does not exist in trusted customers,2026-08-06T09:37:35.194035Z,23,113,2026-02-24,completed,Peja,Card
orders_raw.csv,25,24,order status 'x' is invalid,2026-08-06T09:37:35.194035Z,24,86,2026-02-25,X,Peja,PayPal
orders_raw.csv,26,25,customer_id does not exist in trusted customers,2026-08-06T09:37:35.194035Z,25,50,2026-02-26,completed,Gjilan,PayPal
orders_raw.csv,27,26,customer_id does not exist in trusted customers,2026-08-06T09:37:35.194035Z,26,159,2026-02-27,Completed,Prizren,Card
orders_raw.csv,28,27,customer_id does not exist in trusted customers,2026-08-06T09:37:35.194035Z,27,186,2026-02-28,completed,Vushtrri,Cash
orders_raw.csv,30,29,customer_id does not exist in trusted customers; order_date is invalid or missing,2026-08-06T09:37:35.194035Z,29,67,bad-date,NEW,Prizren,PayPal
orders_raw.csv,31,30,customer_id does not exist in trusted customers,2026-08-06T09:37:35.194035Z,30,27,2026-02-03,Completed,Mitrovica,Card
