source_file,source_row_number,record_key,invalid_reasons,processed_at,raw_product_id,raw_product_name,raw_category,raw_price,raw_stock_quantity,raw_supplier_id,raw_status
products_raw.csv,10,9,product status 'invalid' is invalid,2026-08-06T09:37:35.194035Z,9,Product 9 , laptop ,420.36,15,1,invalid
products_raw.csv,16,15,product status 'invalid' is invalid,2026-08-06T09:37:35.194035Z,15,Product 15 ,ACCESSORIES,442.71,97,18,invalid
products_raw.csv,18,17,stock_quantity cannot be negative,2026-08-06T09:37:35.194035Z,17,Product 17 ,Accessories,309.38,-17,16,ACTIVE
products_raw.csv,20,19,price must be greater than zero; product status 'invalid' is invalid,2026-08-06T09:37:35.194035Z,19,Product 19 ,Accessories,-210.36,36,9,invalid
products_raw.csv,21,20,product status 'invalid' is invalid,2026-08-06T09:37:35.194035Z,20,Product 20 ,Accessories,370.68,83,13,invalid
products_raw.csv,22,21,product status 'invalid' is invalid,2026-08-06T09:37:35.194035Z,21,Product 21 ,Monitor,123.14,61,,invalid
products_raw.csv,24,23,price is invalid or missing,2026-08-06T09:37:35.194035Z,23,Product 23 ,Monitor,,63,8,active
products_raw.csv,30,29,product status 'invalid' is invalid,2026-08-06T09:37:35.194035Z,29,Product 29 ,ACCESSORIES,172.41,7,9,invalid
products_raw.csv,31,30,product status 'invalid' is invalid,2026-08-06T09:37:35.194035Z,30,Product 30 ,Monitor,484.0,16,17,invalid
products_raw.csv,35,34,stock_quantity cannot be negative,2026-08-06T09:37:35.194035Z,34,Product 34 ,Monitor,356.21,-60,16,ACTIVE
products_raw.csv,36,34,duplicate product_id '34',2026-08-06T09:37:35.194035Z,34,Product 35 ,ACCESSORIES,41.2,67,15,ACTIVE
products_raw.csv,37,36,product status 'invalid' is invalid,2026-08-06T09:37:35.194035Z,36,Product 36 , laptop ,392.64,28,5,invalid
products_raw.csv,38,37,product status 'invalid' is invalid,2026-08-06T09:37:35.194035Z,37,Product 37 ,ACCESSORIES,486.08,13,3,invalid
products_raw.csv,39,38,price must be greater than zero; product status 'invalid' is invalid,2026-08-06T09:37:35.194035Z,38,Product 38 , laptop ,-389.55,0,8,invalid
products_raw.csv,40,39,product status 'invalid' is invalid,2026-08-06T09:37:35.194035Z,39,Product 39 ,Accessories,460.36,82,5,invalid
